Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Corynebacterium diphtheriae C7 (beta),2511231089,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Engineered,Lab synthesis,Unclassified,Unclassified,Engineered lab Synthesis,2499189,2414,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium freudenreichii freudenreichii DSM 20271,2627853667,Bacteria,Propionibacterium freudenreichii subsp. freudenreichii strain:DSM 20271 Genome sequencing,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,Environmental,Unclassified,Unclassified,Unclassified,uncategorized,2649166,2368,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae HC01,2511231083,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Animal,Unclassified,Circulatory system,animal Host,2427149,2321,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae HC02,2511231091,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Animal,Unclassified,Circulatory system,animal Host,2468612,2306,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae HC04,2511231084,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Animal,Unclassified,Circulatory system,animal Host,2484332,2342,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae INCA 402,2511231088,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Animal,Unclassified,Circulatory system,animal Host,2449071,2292,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae bv. Gravis,637000082,Bacteria,Corynebacterium diphtheriae gravis NCTC 13129,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Nasopharyngeal,Respiratory system,Human Host,2488635,2395,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae sv. Mitis B-D-16-78,2718217843,Bacteria,Corynebacterium diphtheriae B-D-16-78 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Nasopharyngeal,Respiratory system,Human Host,2474151,2424,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae 241,2511231126,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Unclassified,Unclassified,Human Host,2426551,2318,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae 31A,2511231075,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Unclassified,Unclassified,Human Host,2535346,2458,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae CDCE 8392,2511231115,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Unclassified,Unclassified,Human Host,2433326,2330,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae PW8,2511231111,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Unclassified,Unclassified,Human Host,2530683,2412,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae VA01,2511231107,Bacteria,Pan-genomics of Corynebacterium diphtheriae,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,Host-associated,Human,Unclassified,Unclassified,Human Host,2395441,2258,None,None,None,None,complete,None,None,None,complete,None,None
Actinomyces oris T14V,2684623058,Bacteria,Human oral bacterial isolates genome sequencing,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,,,,,Uncategorized,3042917,2531,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium diphtheriae NCTC11397,2660238345,Bacteria,Genome sequencing of bacterial type strains from NCTC culture collection,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae,,,,,Uncategorized,2463666,2406,None,None,None,None,complete,None,None,None,complete,None,None
Microlunatus phosphovorus NM-1,650716058,Bacteria,Microlunatus phosphovorus NM-1,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus,Engineered,Wastewater,Unclassified,Activated Sludge,engineered wastewater,5683123,5391,None,complete,incomplete,None,complete,None,None,None,complete,None,None
"Intrasporangium calvum 7KIP, DSM 43043",649633057,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium calvum,Environmental,Air,Unclassified,Unclassified,Air,4024382,3710,complete,complete,None,None,complete,None,None,None,complete,None,None
Actinomyces radicidentis CCUG 36733,2687453525,Bacteria,Human oral bacterial isolates genome sequencing,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces radicidentis,,,,,Uncategorized,3051613,2621,None,complete,None,None,complete,None,None,None,complete,None,None
Mycobacterium sinense JDM601,650716061,Bacteria,Mycobacterium sinense JDM601,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sinense,Host-associated,Human,Unclassified,Unclassified,Human Host,4643668,4398,None,complete,None,None,complete,None,None,None,complete,None,None
Rothia mucilaginosa DY-18,646311951,Bacteria,Rothia mucilaginosa DY-18,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa,Host-associated,,,,Host,2264603,1965,None,complete,None,None,complete,None,None,None,complete,None,None
Rothia mucilaginosa NUM-Rm6536,2687453485,Bacteria,"Complete genome sequence of Rothia mucilaginosa strain NUM-Rm6536, isolated from the human oral cavity",Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa,,,,,Uncategorized,2292716,1804,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis sv. Ovis 3/99-5,2511231067,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Animal,Unclassified,Unclassified,animal Host,2337938,2239,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis FRC41,648028019,Bacteria,Corynebacterium pseudotuberculosis FRC41,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Human,Lymph nodes,Lympathic system,Human Host,2337913,2171,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 267,2513237214,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Skin,Mammal host,2337628,2249,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 42/02-A,2511231212,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Skin,Mammal host,2337606,2164,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis Cp162,2518645565,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Skin,Mammal host,2293464,2150,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis PAT10,2511231154,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Skin,Mammal host,2335323,2200,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 316,2512564036,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2310415,2234,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis C231,648231703,Bacteria,Corynebacterium pseudotuberculosis C231,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2328208,2113,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis I19,650377927,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2337730,2127,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis sv. Equi 258,2518645564,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2314404,2195,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis sv. II CIP52.97,2511231153,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2320595,2194,None,complete,None,None,incomplete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis sv. Ovis 1002,648231702,Bacteria,Corynebacterium pseudotuberculosis 1002,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2335112,2117,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis sv. Ovis P54B96,2512564058,Bacteria,"Genome Sequencing of Corynebacterium pseudotuberculosis - Rede Paraense de Genomica e Proteomica, Brazil",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,Unclassified,Unclassified,Mammal host,2337657,2207,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 32,2718218467,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403533,2262,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 33,2721755729,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403550,2265,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 34,2718218183,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403454,2264,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 35,2718217849,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403502,2264,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 36,2721755690,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403412,2262,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 38,2718218074,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403515,2265,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 39,2718218477,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403579,2265,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 43,2718218479,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2365075,2209,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 46,2728369357,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2366565,2205,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 48,2718218061,Bacteria,Corynebacterium pseudotuberculosis genome sequencing - Federal University of Minas Gerais,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2403301,2258,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis Cp13,2718218466,Bacteria,Corynebacterium pseudotuberculosis Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2342237,2172,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis E55,2718217737,Bacteria,Corynebacterium pseudotuberculosis genome sequencing E55,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2335383,2180,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis I37,2718217980,Bacteria,Complete Genome Sequencing of Corynebacterium pseudotuberculosis strain I37,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2370282,2202,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MEX29,2718217883,Bacteria,Complete Genome Sequencing of Corynebacterium pseudotuberculosis strain MEX29,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2337866,2175,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MEX9,2718218465,Bacteria,Corynebacterium pseudotuberculosis MEX9 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2337578,2188,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis T1,2718217732,Bacteria,Corynebacterium pseudo tuberculosis T1 strain Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Mammals,,,Mammal host,2337201,2171,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MB11,2660238451,Bacteria,Corynebacterium pseudotuberculosis biovar equi,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Microbial,Unclassified,Bacteria,Microbial host,2363423,2291,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MB14,2667527572,Bacteria,Corynebacterium pseudotuberculosis biovar equi,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Microbial,Unclassified,Bacteria,Microbial host,2370761,2269,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MB30,2667527512,Bacteria,Corynebacterium pseudotuberculosis biovar equi,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Microbial,Unclassified,Bacteria,Microbial host,2364377,2247,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MB66,2657245564,Bacteria,Corynebacterium pseudotuberculosis biovar equi,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,Host-associated,Microbial,Unclassified,Bacteria,Microbial host,2372202,2274,None,complete,None,None,complete,None,None,None,complete,None,None
Arsenicicoccus sp. F0371,2687453142,Bacteria,Human oral bacterial isolates genome sequencing,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Arsenicicoccus,Arsenicicoccus sp. oral taxon 190,,,,,Uncategorized,3525271,3313,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 1002B,2645727783,Bacteria,Corynebacterium pseudotuberculosis 1002B genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2335107,2177,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 12C,2648501731,Bacteria,Corynebacterium pseudotuberculosis strain:12C genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337451,2191,None,complete,None,None,None,None,None,None,complete,None,None
